A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_CDS_FSP_UID!FUNC_NO_SWAP_PIN!FUNC_HARD_LOCATION!FUNC_NO_SWAP_GATE_EXT!FUNC_CDS_FSP_MAPPED_CELL!FUNC_CDS_FSP_FPGA_SYMBOL!FUNC_CDS_FSP_TERM_TYPE!FUNC_CDS_FSP_TERM_NAME!FUNC_ROOM!FUNC_GROUP!FUNC_CDS_FSP_TERM_INDEX!FUNC_CDS_FSP_INSTANCE_ID!FUNC_NO_SWAP_GATE!FUNC_NO_XNET_CONNECTION!FUNC_CDS_FSP_IS_FPGA!
J!d:/dev/out/allegro/imx6 rex_v1i1.brd!Sun Mar  5 16:16:40 2023!-100.0000!-100.0000!320.0000!197.0000!0.0001!millimeters!IMX6 REX_V1I1!10.400000 mil!2!UP TO DATE!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins308821@orcad_library.\qsh-030-01-l-d-a.normal\(chips)!QSH-030-01-L-D-A_QSH-030-01-L-D-A_NA!J1!.\chipsView.dat!!!!!!F218!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins308525@orcad_library.\qsh-030-01-l-d-a.normal\(chips)!QSH-030-01-L-D-A_QSH-030-01-L-D-A_NA!J2!.\chipsView.dat!!!!!!F217!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins315322@orcad_library.\mt41j128m16ha15edtr.normal\(chips)!MT41J128M16HA15EDTR_96_FPGA_DD3_MT41J128M16HA15EDTR!U2!.\chipsView.dat!!!!!!F10!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins313358@orcad_library.\mt41j128m16ha15edtr.normal\(chips)!MT41J128M16HA15EDTR_96_FPGA_DD3_MT41J128M16HA15EDTR!U3!.\chipsView.dat!!!!!!F9!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins316188@orcad_library.\mt41j128m16ha15edtr.normal\(chips)!MT41J128M16HA15EDTR_96_FPGA_DD3_MT41J128M16HA15EDTR!U4!.\chipsView.dat!!!!!!F8!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins314838@orcad_library.\mt41j128m16ha15edtr.normal\(chips)!MT41J128M16HA15EDTR_96_FPGA_DD3_MT41J128M16HA15EDTR!U5!.\chipsView.dat!!!!!!F7!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins308073@project_worklib.\c1005x5r1c105k_c1.normal\(chips)!C1005X5R1C105K_C1_C0402_1U!C1!.\chipsView.dat!!!!!!F478!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins313246@project_worklib.\c1005x5r1e224m_c10.normal\(chips)!C1005X5R1E224M_C10_C0402_220N!C10!.\chipsView.dat!!!!!!F477!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins327928@project_worklib.\c1005x5r1e224m_c100.normal\(chips)!C1005X5R1E224M_C100_C0402_220N!C100!.\chipsView.dat!!!!!!F476!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins329298@orcad_library.\grm188r60g226mea0l.normal\(chips)!GRM188R60G226MEA0L_C0603_22U!C101!.\chipsView.dat!!!!!!F475!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins328250@orcad_library.\grm188r60g226mea0l.normal\(chips)!GRM188R60G226MEA0L_C0603_22U!C106!.\chipsView.dat!!!!!!F474!!!!!!!!!!!!!!!!!!
S!@\imx6 rex_v1i1\.all_design(sch_1):ins328164@orcad_library.\grm188r60g226mea0l.normal\(chips)!GRM188R60G226MEA0L_C0603_22U!C111!.\chipsView.dat!!!!!!F473!!!!!!!!!!!!!!!!!!
